rep	seed
0	4214085191
1	632967216
2	1995035999
3	2367318640
4	1046029568
5	2667353820
6	496362688
7	2421908498
8	3605871597
9	3099032948
10	1168173169
11	2003547809
12	3575621186
13	3739856153
14	1743187506
15	938734775
16	1845855167
17	820365127
18	1876168406
19	3109222694
20	423879203
21	2597879796
22	1209799943
23	3156021593
24	980523257
25	4281476827
26	2073938463
27	1045649710
28	2212328778
29	881694858
30	3118848558
31	4132156839
32	3353044251
33	4142763848
34	3097341038
35	2906994053
36	1707961642
37	2847727070
38	370309387
39	1240049640
40	3712769359
41	3782572774
42	4207519917
43	2522664587
44	1965107783
45	1843393873
46	3122854501
47	3590021737
48	1816860752
49	3969197822
50	4042790853
51	2528178677
52	4051142160
53	3952870451
54	2867762106
55	1320050686
56	1705034902
57	421962502
58	2641605849
59	2951328011
60	2281357925
61	3639510991
62	2580561434
63	336781649
64	3881428791
65	1026043376
66	3767014729
67	3885308445
68	76599433
69	3106212680
70	2924118083
71	1102311850
72	4145128761
73	273552867
74	4267891747
75	1161885122
76	4202146311
77	2433979443
78	2664492978
79	3475722987
80	2556348766
81	3381912365
82	2324289750
83	3208394677
84	1051293770
85	3267394827
86	432844727
87	2009453825
88	369535776
89	3483161337
90	940961225
91	2930162935
92	3799310597
93	3064366365
94	2796536074
95	689667783
96	4044474822
97	3288087011
98	1267977657
99	433935406
100	4061327488
101	3799451230
102	2503542522
103	50110215
104	3571322251
105	2591795923
106	2890896990
107	3248800822
108	228694112
109	4070967601
110	3075964697
111	3823565805
112	3545895756
113	4242483364
114	1160332648
115	2386882910
116	2872374366
117	4132748627
118	1517285906
119	1278684623
120	3095369803
121	1620043479
122	1526397271
123	871396595
124	1781138421
125	571282728
126	3408522387
127	2796932368
128	3169791265
129	2086221485
130	2393682418
131	1410448986
132	481045928
133	377266048
134	138523160
135	3006931644
136	2522890450
137	2873808336
138	671005833
139	441065008
140	642686874
141	552690444
142	529315899
143	2063332163
144	560097274
145	2308780085
146	1327462119
147	4084509278
148	681265875
149	3016806156
150	3459259937
151	145571232
152	1204285726
153	2275099482
154	3077590222
155	3173293217
156	3124073758
157	1592441789
158	2523852737
159	1809341452
160	2398935172
161	1373518486
162	3815920755
163	40215141
164	3742383079
165	113162339
166	652443069
167	507354632
168	1985431397
169	3020402425
170	3291536867
171	4237783780
172	2700122696
173	3714516357
174	153286190
175	245618880
176	887698206
177	3319038538
178	278728927
179	355361855
180	2428566681
181	1944835976
182	961234517
183	364012745
184	2105207593
185	696621636
186	16404857
187	1628587817
188	1634722826
189	2917280291
190	646781109
191	849789317
192	1701056951
193	2592024994
194	3387915369
195	4023922527
196	1304300093
197	4260039388
198	758731314
199	3638223581
