rep	seed
0	4206555317
1	224721062
2	4039923220
3	3850819595
4	3190711406
5	142063684
6	4112272483
7	1788587879
8	151795374
9	1273048338
10	1415494296
11	778585010
12	3787793473
13	325355318
14	3286430597
15	2760808841
16	3561401090
17	1452307051
18	2229245337
19	951098767
20	435442004
21	252715927
22	284976873
23	1781004390
24	3065115964
25	3176810393
26	1016071670
27	3708009830
28	4039918043
29	2009704664
30	1182464752
31	653500481
32	326429903
33	3511203069
34	2122755078
35	423871776
36	944038589
37	1782073436
38	4033083688
39	1747022979
40	1945926266
41	2522479941
42	339287162
43	1469579907
44	1489932503
45	3888568510
46	4170868526
47	2391877413
48	1630980097
49	1319592168
50	3405793236
51	2989233649
52	4102167905
53	818323883
54	3986690170
55	1944448506
56	4230429764
57	895775546
58	801456301
59	1998568738
60	4183006381
61	1324657736
62	1773077180
63	2795200111
64	1599290879
65	4275167881
66	2172743931
67	1912823849
68	787867314
69	2514286253
70	2658384591
71	429786473
72	2280125020
73	203563264
74	4111767194
75	2386578501
76	629015261
77	3936891685
78	1607072941
79	3344702464
80	1616448837
81	1918615336
82	1932050310
83	2372389288
84	2273556483
85	3050516997
86	752977769
87	767309387
88	1353155565
89	1237871004
90	2246109753
91	2640117769
92	1910696456
93	3634423732
94	4012834335
95	3055939499
96	2561984120
97	2758172934
98	1257873471
99	3130371254
100	4162256083
101	4263640351
102	1345887060
103	3090585423
104	1152156122
105	1816813591
106	913776047
107	2991555495
108	2676898093
109	3832059088
110	3754805888
111	1758793189
112	1254977952
113	2240870488
114	3980338288
115	301890833
116	2948785849
117	2775502834
118	10871323
119	3125221439
120	3413500424
121	2088597989
122	3981196801
123	4143440786
124	957818698
125	924566253
126	232774548
127	1824389811
128	2533043103
129	65660877
130	3863675429
131	441253970
132	1795743998
133	225258121
134	1144946782
135	764909224
136	3716950455
137	2323714852
138	74846842
139	3048845940
140	2355816704
141	2175150583
142	1531864476
143	913209504
144	1939389636
145	99645357
146	1725279733
147	1053984384
148	361933460
149	1651021127
150	419298374
151	1724680621
152	3703574174
153	1705674662
154	4100897852
155	389575105
156	3651528082
157	648036902
158	2904276109
159	523261133
160	744026597
161	1653511839
162	2463525048
163	599946653
164	3716919317
165	3730837956
166	1841942158
167	1559189740
168	1673537304
169	2862639551
170	3793989391
171	2394867295
172	2050590213
173	4173189228
174	4072580342
175	2887990187
176	1142568906
177	3416149755
178	2108717427
179	3099957070
180	1136731465
181	2524216180
182	1426166205
183	4249907125
184	1202646530
185	1440889202
186	3939734712
187	3654187329
188	1839865319
189	4066690982
190	3975456811
191	2169304378
192	1491374241
193	1532962481
194	1026890176
195	1122790969
196	3479346521
197	3880137440
198	235153641
199	349926161
