rep	seed
0	2922043898
1	3716049546
2	3950049667
3	1210463137
4	1984097406
5	3893487692
6	2265140863
7	4183672708
8	1648553340
9	3345785309
10	1802170057
11	333296904
12	75265852
13	1356875090
14	1464238881
15	998286461
16	4013506987
17	2833873048
18	1789850011
19	479190170
20	1699603600
21	4118699769
22	1008375448
23	2882617299
24	2291435462
25	3118985850
26	1153718259
27	3569757039
28	1671861691
29	2255344364
30	3362357697
31	316208815
32	2256787106
33	3469740448
34	1287312591
35	2496832184
36	1872010354
37	3187028284
38	3018110263
39	1279701531
40	1539759816
41	969414104
42	2041666404
43	378929983
44	1431835885
45	2129071013
46	3669858136
47	1508026152
48	1020833771
49	4123025701
50	308885555
51	2303738981
52	446996492
53	3455254757
54	1730867610
55	2604295306
56	2290053652
57	1797221697
58	1036782839
59	1632040290
60	437291205
61	4183154661
62	1495064859
63	2051149795
64	1008275672
65	4060468628
66	2644147220
67	2324867107
68	65052201
69	984120888
70	4191070766
71	530963256
72	1552462406
73	746748754
74	574855398
75	240470612
76	1641583286
77	4207363550
78	3729465829
79	3234176965
80	818429264
81	323217386
82	2616621840
83	978686235
84	3683995030
85	3937536753
86	4123330611
87	4128210922
88	2194239170
89	2841600730
90	1378731790
91	2268611282
92	261070409
93	3308983463
94	2427074065
95	1564384326
96	3546409177
97	2023206782
98	4244150472
99	2797231428
100	3401094282
101	1422715319
102	1140513417
103	2433146951
104	3639954696
105	1033039120
106	17581041
107	1076017778
108	737284524
109	946172418
110	777800231
111	1163968074
112	1415988640
113	3527414092
114	1812365276
115	264102008
116	2052187215
117	1761395401
118	2495851706
119	2526711911
120	3421155519
121	287851305
122	4183407799
123	1146123298
124	145848386
125	4256216427
126	1556503073
127	735166111
128	841477132
129	2173731809
130	2814928503
131	1882561874
132	701051179
133	1682421344
134	3315497209
135	2383600372
136	2035490424
137	2848447726
138	2185581798
139	177070797
140	3617566640
141	1862377469
142	3229378486
143	3749631266
144	207187603
145	2866449256
146	4018125691
147	57700936
148	4064227695
149	1334427516
150	1034824420
151	2804472306
152	2247464945
153	1763748452
154	1384708968
155	2676234976
156	1902467651
157	3891970720
158	602190169
159	1706462084
160	3780390890
161	4176062628
162	3191518581
163	4268572493
164	534240492
165	722223031
166	1040051964
167	3409907783
168	814987369
169	3473140231
170	2651713522
171	1277120847
172	282450897
173	4223287529
174	2966989442
175	355849628
176	4198619046
177	3241999173
178	937501766
179	2993319897
180	1086129589
181	1473467636
182	3166683774
183	157228453
184	3243130751
185	745241089
186	3597250058
187	2502699277
188	2499581782
189	2502083326
190	3172573480
191	1274958513
192	2024895278
193	1397755898
194	2911591201
195	303019184
196	3192235879
197	3902213996
198	129694518
199	1505291736
