rep	seed
0	3388138360
1	2396888942
2	3812323509
3	1375954902
4	1455894476
5	503608855
6	2875861094
7	1782344766
8	2491879158
9	1077128921
10	3505122304
11	1320120079
12	3435055418
13	1880564181
14	2126933535
15	3773843645
16	3003175557
17	3555183197
18	1973923222
19	2055705736
20	241427660
21	1947730835
22	3438654007
23	2952490097
24	4052794234
25	1498936442
26	3509722853
27	2373649754
28	2219515535
29	2210263515
30	1680590843
31	2045909360
32	2203746813
33	1903738180
34	1094654367
35	319049948
36	846885379
37	1034619062
38	3696450605
39	1058227785
40	1010430
41	2698421323
42	2657666743
43	4058589578
44	3050429933
45	2748999946
46	2610807812
47	3435265927
48	126684796
49	2239326746
50	2969976238
51	4173466045
52	286728537
53	2971997913
54	2913441403
55	1666645880
56	2767988471
57	3981781106
58	1606524187
59	3974859660
60	1735766857
61	1746090051
62	686768137
63	2777896188
64	3053967804
65	1018878792
66	3869032424
67	625801885
68	142620530
69	3191932747
70	4272491096
71	1414624882
72	2843289315
73	4114381171
74	1600977031
75	1329706601
76	3390520218
77	3310137976
78	4157635615
79	888746092
80	310340583
81	787069753
82	2278715887
83	843269555
84	2403666696
85	4037164425
86	1182931972
87	2470171897
88	1114047820
89	385259584
90	3541346119
91	2104546933
92	688303434
93	4184396232
94	1661468489
95	1929000818
96	1059962988
97	3552765663
98	1778896312
99	521389122
100	4144604988
101	359499306
102	2241435932
103	3140380874
104	3571748697
105	3659095063
106	2767609349
107	3916875900
108	4034020594
109	328831923
110	2008936813
111	1887083997
112	416101096
113	896602396
114	1605007148
115	3436042049
116	2812190849
117	2723311404
118	633153634
119	516999549
120	3474195478
121	2837674721
122	3074873896
123	549615843
124	3287870929
125	347573533
126	2697376665
127	1196856344
128	2588542582
129	3863197065
130	2447662777
131	4140832921
132	3576554495
133	1785068641
134	2630202822
135	1678401884
136	1334767516
137	1408009971
138	1757677528
139	685420891
140	3114011472
141	1453910537
142	3899273788
143	2720185798
144	1304192500
145	1941521423
146	893504465
147	985098555
148	3360974642
149	2724065624
150	80193009
151	1048938322
152	2328015169
153	2494160111
154	1278576715
155	4085110725
156	3733966975
157	3210956700
158	1539308766
159	857906789
160	1596505858
161	3970060710
162	166312750
163	315468305
164	2766294445
165	315147046
166	430414572
167	3711996202
168	3783788406
169	3553093962
170	1274925599
171	1363169757
172	2565785700
173	1269864602
174	4007816156
175	650834972
176	1152157656
177	3830350104
178	3994262364
179	317351979
180	1728842265
181	2631574980
182	152122196
183	645913391
184	3772193715
185	2870462825
186	420826958
187	2809533484
188	2521706226
189	1656892685
190	2342289950
191	3062021335
192	650345781
193	1789936792
194	4028518446
195	509468379
196	222299399
197	1703230731
198	1372748001
199	2656597724
