rep	seed
0	773851914
1	1734237286
2	916583137
3	1827411848
4	4128268301
5	4184536734
6	1029772433
7	3958841699
8	3023123045
9	52822802
10	2788262180
11	2654031911
12	3170670215
13	1811671069
14	2250745457
15	843571960
16	3465361803
17	2202167800
18	2467039537
19	1501195763
20	2768951812
21	2705316071
22	4178760811
23	3545267673
24	2143621610
25	109552995
26	2897928713
27	4224623881
28	606078327
29	4090793774
30	4070514824
31	99408849
32	138741413
33	2677434826
34	1629363922
35	3729623890
36	997929987
37	3565828581
38	4127655512
39	2448640898
40	3337776493
41	3874273791
42	1331023868
43	3335507725
44	981152692
45	3676356147
46	1862088056
47	3444863861
48	1765184587
49	3454755015
50	3593990119
51	3586744560
52	3443943049
53	3051592705
54	4054923918
55	2537302914
56	3914817668
57	3469141357
58	1679893523
59	2036956865
60	496429161
61	2843849298
62	3446033406
63	1534809378
64	2052531233
65	1875678457
66	2100213852
67	858040611
68	2970287391
69	4257753820
70	4039979953
71	462534259
72	3276202480
73	2779655256
74	3946577751
75	2343711201
76	2233573650
77	1057512066
78	2577612535
79	2022286301
80	84556255
81	1147961181
82	2597544401
83	2906638719
84	3744771244
85	1486019436
86	3131230194
87	228722242
88	703415180
89	9372728
90	967974026
91	389768838
92	3298160890
93	678512852
94	2196347486
95	2509749385
96	2162838273
97	1397485992
98	761617395
99	2318242240
100	4220994592
101	1241102007
102	1954878443
103	3134767994
104	911021023
105	3609833822
106	3220301244
107	1074223116
108	2859788153
109	1954232294
110	2469828031
111	2225140150
112	1735938402
113	434880341
114	1204433619
115	2985161683
116	3983788730
117	2590317301
118	223706701
119	750285087
120	3109459578
121	2590661041
122	3204392322
123	4186940258
124	970613874
125	1544133906
126	2017046493
127	3408610676
128	1680795685
129	2426801261
130	3907961284
131	2790108162
132	3275719261
133	126728271
134	1013878314
135	2734264280
136	1280299719
137	2515977535
138	3567577354
139	4255577070
140	2252459360
141	878461807
142	2226057461
143	1528532565
144	519507317
145	703293965
146	3501125107
147	545014741
148	100052904
149	1484607590
150	934991662
151	3976256173
152	1726009914
153	3031344047
154	725443329
155	2901623038
156	3444477874
157	2400476555
158	2586327962
159	2019258435
160	323702162
161	4072245364
162	8243573
163	1889262349
164	3094105720
165	1532342416
166	2503398364
167	959362179
168	1428589344
169	3178225863
170	2768851809
171	950467216
172	2824683926
173	3876221132
174	3627912960
175	1131426017
176	3324740689
177	3867588163
178	866659450
179	890134768
180	3835417957
181	956702255
182	371549075
183	882090631
184	813206263
185	2671865678
186	4070152678
187	1579934753
188	2059957529
189	1026330702
190	2820609477
191	881994499
192	3381453823
193	1288843365
194	379233552
195	2716975969
196	2159781318
197	306555868
198	1252968957
199	3802009608
