rep	seed
0	1311140610
1	4215115800
2	3151656185
3	4226529266
4	1573582254
5	1530128587
6	2517247204
7	2206655039
8	4004699605
9	4223433525
10	357025439
11	378110162
12	3368824782
13	3201846621
14	1544329755
15	3566098148
16	1934233320
17	2055472078
18	3517961780
19	2629394117
20	3271024249
21	715778735
22	3576698142
23	1823192173
24	3287202245
25	2243290724
26	1449233973
27	3246530630
28	3007540654
29	1966160024
30	824086559
31	3423866391
32	1621368817
33	1846560356
34	568234741
35	2402802740
36	1290029166
37	1390564548
38	2306755604
39	786384201
40	1344723562
41	2116551663
42	3905027878
43	2064119887
44	4069288284
45	2202092223
46	2484090826
47	3929864691
48	1250872060
49	861207340
50	146293939
51	258827738
52	1822704047
53	2309340339
54	1716573783
55	2562032341
56	3922058669
57	4075331839
58	543268652
59	879096102
60	2637924591
61	3226078512
62	657394829
63	204336412
64	2802355584
65	4292156836
66	1175833556
67	2041042466
68	3496143731
69	74894943
70	2891671192
71	4266597958
72	3821617360
73	2838373804
74	3879178153
75	1758920921
76	938301012
77	4293422039
78	3097740118
79	1076288623
80	615604563
81	2950870875
82	2361312301
83	4186757772
84	2961941245
85	44601833
86	1091365254
87	3151404511
88	413311868
89	3158207058
90	2115498572
91	2478598744
92	3031027285
93	3742438982
94	4266252804
95	3384420184
96	457312813
97	2496066580
98	488954904
99	2562144641
100	2470810270
101	3834494073
102	3522606556
103	1921444287
104	3816333963
105	1975660853
106	661836970
107	1522035179
108	4157568442
109	3467212995
110	3232188976
111	2065681688
112	3681787157
113	3975308183
114	3047851223
115	431979841
116	2843870379
117	1112623905
118	639784702
119	3437530639
120	1017945982
121	1139410576
122	2774929148
123	996451904
124	4057839961
125	4022477621
126	1359783983
127	185549429
128	1199241546
129	1618259486
130	1764239991
131	2928261339
132	2596455782
133	3518470990
134	2175422112
135	4088338784
136	4227881452
137	1469337564
138	1017335517
139	1915562053
140	1086401210
141	581171667
142	405461202
143	530697016
144	4179940475
145	1486290207
146	1952434659
147	490424586
148	2658457567
149	3863198496
150	774232732
151	3640173145
152	3835366555
153	2642281360
154	3085798643
155	254132648
156	1070310512
157	1377155658
158	2984486749
159	2082006697
160	187186073
161	3329408673
162	162680070
163	2753057839
164	1712953416
165	1804662145
166	3481706442
167	819500769
168	1503237681
169	1968709134
170	3742231504
171	2213978498
172	1710330897
173	3008975412
174	3030497253
175	1163465506
176	3767405868
177	2413180074
178	2953284522
179	2620066212
180	1733745895
181	3904476553
182	2982165582
183	3112266035
184	2352197612
185	4280983989
186	70328175
187	918228620
188	853313877
189	3845014077
190	3915858487
191	805983072
192	2124015277
193	3200568095
194	3633272760
195	3719614407
196	217857598
197	726942431
198	448754952
199	2267325796
